julius;telepules;latitude;longitude
1;Sátoraljaújhely;48.40083406;21.65710322
2;Gönc;48.47384839;21.27584752
3;Bodrogkeresztúr;48.15938889;21.36183409
4;Tiszaújváros;47.9310120725796;21.0427445890994
6;Nyírlugos;47.657325590136885;22.035925160122797
7;Csengersima;47.86467275959814;22.726506023150247
8;Milota;48.10402928874756;22.78357305650017
9;Vásárosnamény;48.11886444322682;22.33870031939691
10;Tokaj;48.112220239288824;21.414911707087107
11;Buják;47.90081250218005;19.514906867191193
12;Pápa;47.32890231954716;17.467561578118104
13;Zalaszentgrót;46.946932125083535;17.077530631742018
14;Szentgotthárd;46.95362238489911;16.27035701353571
18-19;Baja-Dunafürdõ;46.195487748162655;18.92070763451245
20;Magyaregregy;46.23356794548257;18.30782776461535
21;Sellye;45.87442921512161;17.842707452208398
22;Barcs;45.96147069969984;17.466869359462002
23;Boldgoasszonyfa-Terecsenypuszta;46.20411072430987;17.86142393177519
24;Kaposszerdahely;46.32070658772502;17.757486548276226
25;Gödöllõ;47.58881332460225;19.38361638084823
26;Szigetmonostor;47.68870820521907;19.09956672403059
